Escola,Regiao,UF,IDEB_2021,IDEB_2023,Alunos,Internet,Biblioteca
Escola Municipal Dom Pedro I,Nordeste,BA,5.8,6.2,320,Sim,Sim
Escola Estadual Santos Dumont,Sudeste,SP,5.5,5.8,450,Sim,Sim
Escola Municipal Cecília Meireles,Nordeste,PE,6.1,6.5,280,Sim,Nao
Escola Estadual Érico Veríssimo,Sul,RS,6.8,7.1,390,Sim,Sim
Escola Municipal Cora Coralina,Centro-Oeste,GO,5.0,5.4,210,Sim,Nao
Escola Estadual Tarsila do Amaral,Sudeste,SP,5.7,6.1,520,Sim,Sim
Escola Municipal Castro Alves,Norte,AM,4.5,4.9,180,Nao,Nao
Escola Estadual Mario Quintana,Sul,RS,6.5,6.8,340,Sim,Sim
Escola Municipal Machado de Assis,Sudeste,RJ,6.0,6.4,410,Sim,Sim
Escola Estadual Monteiro Lobato,Norte,PA,4.8,5.2,250,Nao,Nao
Escola Municipal Clarice Lispector,Nordeste,CE,5.6,6.0,300,Sim,Nao
Escola Estadual Guimarães Rosa,Centro-Oeste,MT,5.5,5.9,270,Sim,Sim
Escola Municipal Rachel de Queiroz,Nordeste,MA,5.9,6.3,290,Nao,Nao
Escola Estadual Carlos Drummond,Sul,PR,7.0,7.3,380,Sim,Sim
Escola Municipal Jorge Amado,Norte,AM,4.7,5.1,200,Nao,Nao
Escola Estadual Graciliano Ramos,Nordeste,AL,5.3,5.7,260,Sim,Nao
Escola Municipal Manuel Bandeira,Sul,SC,6.6,6.9,350,Sim,Sim
Escola Estadual Vinicius de Moraes,Sudeste,MG,5.9,6.2,430,Sim,Sim
Escola Municipal Aluísio Azevedo,Centro-Oeste,DF,5.2,5.6,230,Sim,Sim
Escola Estadual Lima Barreto,Sudeste,RJ,5.6,5.9,480,Sim,Nao
Escola Municipal Anísio Teixeira,Nordeste,BA,5.4,5.8,310,Nao,Nao
Escola Estadual Paulo Freire,Sul,PR,6.7,7.0,360,Sim,Sim
Escola Municipal Darcy Ribeiro,Centro-Oeste,GO,5.1,5.5,240,Sim,Nao
Escola Estadual Rui Barbosa,Sudeste,SP,6.2,6.6,500,Sim,Sim
Escola Municipal Zumbi dos Palmares,Norte,PA,4.4,4.8,190,Nao,Nao
